Pore,Region,Area (um^2),Centroid X (um),Centroid Y (um),Perimeter (um),Ellipse Major Axis (um),Ellipse Minor Axis (um),Major Axis Angle (degree),Circularity,Max Feret Diameter (um),Max Feret X (um),Max Feret Y (um),Feret Angle (degree),Min Feret Diameter (um),Aspect Ratio,Roundness,Solidity,Pore Type
168,Pleural,3400.867,5387.952,6423.264,221.533,77.697,55.731,28.683,0.871,78.516,3111,3743,26.003,57.495,1.394,0.717,0.950,Cortical
169,Pleural,1795.231,6692.587,6415.396,155.466,49.615,46.070,44.276,0.933,52.545,3880,3741,58.392,46.248,1.077,0.928,0.957,Cortical
170,Pleural,743.569,6212.558,6412.193,102.161,37.551,25.212,20.004,0.895,38.678,3599,3730,20.855,26.899,1.489,0.671,0.937,Cortical
171,Pleural,3045.376,6909.989,6450.456,222.368,86.912,44.614,146.843,0.774,90.111,3991,3736,151.477,46.019,1.948,0.513,0.948,Cortical
172,Pleural,2615.823,4771.795,6455.930,192.151,70.968,46.930,16.119,0.890,73.064,2752,3755,15.018,48.193,1.512,0.661,0.967,Cortical
173,Pleural,1576.011,3899.299,6467.003,176.538,75.496,26.579,157.234,0.635,73.930,2247,3747,155.225,29.922,2.840,0.352,0.862,Cortical
174,Pleural,2595.086,2484.384,6480.971,193.159,63.977,51.646,169.298,0.874,69.383,1423,3759,156.615,53.356,1.239,0.807,0.952,Cortical
175,Pleural,4579.913,3624.358,6518.754,250.915,82.094,71.032,102.473,0.914,85.019,2097,3764,111.371,71.688,1.156,0.865,0.964,Cortical
176,Pleural,1975.939,4117.198,6513.793,163.950,54.366,46.276,168.194,0.924,57.007,2377,3776,151.113,44.750,1.175,0.851,0.963,Cortical
177,Pleural,1999.639,4447.465,6549.034,213.640,92.635,27.484,113.243,0.550,90.177,2572,3780,113.629,31.195,3.370,0.297,0.877,Cortical
178,Pleural,1090.173,3228.144,6528.470,130.117,47.089,29.477,45.808,0.809,48.712,1863,3800,32.005,32.149,1.597,0.626,0.906,Cortical
179,Pleural,3904.479,7732.853,6547.558,228.835,73.292,67.829,24.011,0.937,77.069,4472,3812,23.703,68.155,1.081,0.925,0.967,Cortical
180,Pleural,716.908,3367.562,6544.615,120.208,46.054,19.820,95.460,0.624,44.684,1953,3790,105.642,21.253,2.324,0.430,0.857,Cortical
181,Pleural,779.118,2896.066,6540.863,102.161,35.657,27.821,154.936,0.938,37.748,1673,3795,155.772,29.209,1.282,0.780,0.950,Cortical
182,Pleural,838.367,5095.342,6540.785,105.185,37.041,28.818,175.744,0.952,38.678,2950,3796,159.145,27.539,1.285,0.778,0.958,Cortical
183,Pleural,1039.812,7253.632,6589.717,117.773,38.415,34.464,158.454,0.942,40.912,4203,3825,157.751,35.294,1.115,0.897,0.950,Cortical
184,Pleural,1567.124,7469.930,6604.377,153.032,57.197,34.885,9.443,0.841,58.062,4323,3839,11.976,36.172,1.640,0.610,0.941,Cortical
185,Pleural,4046.676,5999.250,6632.822,236.311,77.939,66.108,7.801,0.911,80.362,3463,3860,9.866,63.683,1.179,0.848,0.967,Cortical
186,Pleural,1475.289,3117.872,6653.291,145.730,52.243,35.955,36.797,0.873,54.428,1798,3875,34.695,38.667,1.453,0.688,0.943,Cortical
187,Pleural,2171.459,4850.980,6674.986,171.079,57.735,47.887,144.007,0.932,60.044,2802,3872,152.700,48.682,1.206,0.829,0.961,Cortical
188,Pleural,639.884,5288.782,6676.300,91.416,31.353,25.985,34.820,0.962,33.107,3064,3883,27.897,26.775,1.207,0.829,0.952,Cortical
189,Pleural,1466.402,3990.586,6685.267,139.436,45.823,40.745,142.891,0.948,48.499,2306,3877,152.526,41.308,1.125,0.889,0.961,Cortical
190,Pleural,1578.974,7422.680,6700.224,147.156,50.521,39.793,109.973,0.916,54.018,4306,3879,112.479,41.308,1.270,0.788,0.954,Cortical
191,Pleural,2091.474,3540.369,6706.584,187.110,71.720,37.130,135.724,0.751,72.084,2043,3880,123.311,39.910,1.932,0.518,0.918,Cortical
192,Pleural,3146.098,4604.567,6724.853,206.338,67.770,59.108,46.018,0.929,69.702,2659,3919,32.905,59.636,1.147,0.872,0.964,Cortical
193,Pleural,2482.514,4281.467,6721.920,182.414,59.324,53.281,29.630,0.938,61.699,2478,3921,59.859,54.651,1.113,0.898,0.962,Cortical
194,Pleural,6940.968,3793.586,6772.384,453.465,179.198,49.317,49.420,0.424,190.000,2159,3976,42.797,65.847,3.634,0.275,0.762,Cortical
195,Pleural,1398.266,5553.119,6733.612,137.837,46.065,38.648,100.640,0.925,48.985,3221,3899,108.435,39.587,1.192,0.839,0.945,Cortical
196,Pleural,1733.020,7024.166,6788.059,156.892,57.046,38.680,34.800,0.885,57.858,4067,3953,30.379,38.667,1.475,0.678,0.950,Cortical
197,Pleural,1685.621,3053.745,6800.161,153.032,53.303,40.264,147.648,0.904,56.196,1760,3943,152.650,42.597,1.324,0.755,0.949,Cortical
198,Pleural,1039.812,4828.699,6814.891,124.068,48.455,27.323,128.294,0.849,48.712,2797,3948,122.005,28.571,1.773,0.564,0.930,Cortical
199,Pleural,1392.341,3193.320,6830.413,143.123,50.072,35.405,148.898,0.854,51.778,1841,3964,158.552,36.734,1.414,0.707,0.924,Cortical
200,Pleural,2624.711,6720.104,6861.032,195.002,70.067,47.696,54.904,0.867,70.819,3896,4005,64.058,49.295,1.469,0.681,0.947,Cortical
201,Pleural,1504.913,5948.287,6866.118,151.016,56.755,33.761,139.406,0.829,58.241,3443,3979,145.840,36.511,1.681,0.595,0.924,Cortical
202,Pleural,1164.234,7372.900,6865.295,129.109,48.620,30.488,175.073,0.878,49.676,4270,3984,165.964,30.981,1.595,0.627,0.948,Cortical
203,Pleural,2541.763,6256.709,6884.627,223.132,90.395,35.801,19.037,0.641,89.848,3608,4008,16.699,38.821,2.525,0.396,0.921,Cortical
204,Pleural,835.405,7244.650,6877.058,105.185,37.249,28.556,91.208,0.949,38.100,4206,3985,108.435,27.539,1.304,0.767,0.963,Cortical
205,Pleural,2044.075,5424.880,6886.595,167.810,56.205,46.306,117.139,0.912,57.832,3138,3992,143.471,47.723,1.214,0.824,0.963,Cortical
206,Pleural,1404.191,5176.594,6891.599,141.870,48.091,37.177,1.552,0.877,50.621,2993,4000,162.181,37.866,1.294,0.773,0.944,Cortical
207,Pleural,1549.350,5519.631,6929.601,151.189,54.336,36.306,35.766,0.852,57.292,3193,4035,32.735,40.026,1.497,0.668,0.936,Cortical
208,Pleural,1475.289,7037.586,6935.663,140.862,49.394,38.029,16.812,0.934,51.578,4076,4036,25.710,37.866,1.299,0.770,0.962,Cortical
209,Pleural,1691.546,6669.320,6956.939,160.507,59.500,36.197,70.190,0.825,60.828,3866,4057,64.885,37.516,1.644,0.608,0.945,Cortical
210,Pleural,1321.243,3010.678,6955.832,134.985,47.398,35.492,83.675,0.911,48.008,1746,4055,75.466,36.118,1.335,0.749,0.945,Cortical
211,Pleural,1341.980,4803.272,6958.846,136.166,44.734,38.196,46.184,0.909,49.227,2779,4051,36.469,39.450,1.171,0.854,0.962,Cortical
212,Pleural,1066.474,3979.432,6967.594,120.798,42.987,31.588,109.442,0.918,44.750,2307,4036,112.620,32.702,1.361,0.735,0.956,Cortical
213,Pleural,959.827,4579.312,6986.714,117.773,43.030,28.401,111.878,0.870,44.117,2657,4047,110.556,29.250,1.515,0.660,0.936,Cortical
214,Pleural,1288.656,4368.495,7012.861,131.543,45.265,36.248,172.298,0.936,46.821,2525,4072,162.897,36.145,1.249,0.801,0.955,Cortical
215,Pleural,909.465,5314.293,7026.471,111.897,39.276,29.483,116.869,0.913,40.912,3084,4071,112.249,30.020,1.332,0.751,0.943,Cortical
216,Pleural,1513.801,6406.120,7059.320,160.925,64.451,29.905,18.968,0.735,63.287,3704,4107,22.380,30.906,2.155,0.464,0.930,Cortical
217,Pleural,850.217,3798.548,7059.428,109.045,41.832,25.878,2.828,0.898,42.195,2195,4099,168.232,25.818,1.617,0.619,0.947,Cortical
218,Pleural,1238.295,3599.721,7073.125,128.101,44.288,35.600,11.790,0.948,46.344,2079,4115,21.801,36.145,1.244,0.804,0.958,Cortical
219,Pleural,1818.930,5075.709,7093.849,156.057,50.759,45.626,36.755,0.939,53.467,2937,4131,33.178,46.472,1.113,0.899,0.959,Cortical
220,Pleural,1626.373,5780.952,7093.139,149.172,53.800,38.490,178.623,0.918,54.346,3343,4118,169.046,37.866,1.398,0.715,0.959,Cortical
221,Pleural,713.945,6202.709,7099.439,103.342,41.931,21.679,177.275,0.840,40.912,3592,4122,165.379,20.654,1.934,0.517,0.960,Cortical
222,Pleural,862.066,5247.928,7145.545,105.603,34.692,31.639,88.223,0.971,36.471,3046,4141,109.290,30.981,1.097,0.912,0.957,Cortical
223,Pleural,1116.835,5594.053,7143.316,123.405,43.174,32.936,10.878,0.922,45.440,3238,4156,24.624,30.981,1.311,0.763,0.969,Cortical
224,Pleural,832.442,4261.566,7146.878,104.595,34.612,30.622,86.804,0.956,36.471,2473,4142,109.290,30.981,1.130,0.885,0.953,Cortical
225,Pleural,1430.852,4768.912,7156.618,148.755,58.633,31.072,6.825,0.813,58.444,2754,4162,13.627,31.825,1.887,0.530,0.942,Cortical
226,Cutaneous,6671.387,3666.192,708.801,413.608,143.766,59.084,76.766,0.490,154.138,2115,453,60.572,87.592,2.433,0.411,0.717,Cortical
227,Cutaneous,26007.151,3357.834,931.166,708.270,273.418,121.109,171.286,0.651,275.925,1872,534,176.424,131.004,2.258,0.443,0.926,Cortical
228,Cutaneous,5441.979,3069.260,1432.456,285.339,93.468,74.132,5.662,0.840,95.055,1757,830,174.806,74.010,1.261,0.793,0.953,Cortical
229,Cutaneous,8632.514,2963.978,924.670,669.712,222.202,49.465,165.281,0.242,242.838,1640,520,163.106,84.827,4.492,0.223,0.580,Cortical
230,Cutaneous,5658.237,3042.891,1223.859,461.632,172.788,41.694,4.154,0.334,192.564,1712,723,7.189,46.472,4.144,0.241,0.896,Cortical
231,Cutaneous,367.341,2795.625,1327.952,80.081,29.276,15.976,55.105,0.720,30.645,1618,778,51.843,18.474,1.833,0.546,0.849,Cortical
232,Cutaneous,1641.185,2759.313,1425.197,258.045,106.779,19.570,61.138,0.310,114.700,1587,859,64.204,24.176,5.456,0.183,0.782,Cortical
